"x"
"1""#NEXUS"
"2""begin data;"
"3""dimensions ntax=80 nchar=79;"
"4""format datatype=binary interleave=no gap=?;"
"5""matrix"
"6""0.1FishXXX 000000000000000000000000000000000000000000000000000000000000000000000000000000"
"7""0.2SnakeXX 111100001110011101100000001100000010001000100010000001111110000000010000000000"
"8""0.3MammalX 100000000011100000000010001110000011001100110000000001000000110000010000010000"
"9""1GermanXXX 010011100111100001100001011111000011010000110110000001110000100010010????00111"
"10""2FrenchXXX 010011010110011101000000011111000011001000110000000001100001001000110001100110"
"11""3FrenchXXX 010011100011000000???101001111000011011101110100000001110000100010010001100111"
"12""4DutchXXXX 010011010110000???0100010111100000100011011101001100011000010010001??????00010"
"13""5EnglishXX 010011100110000???100000010111000011011101110100101001111000????10010001100100"
"14""6AmericanX 1111000011100001000010000010000000100010001101100000011111100000000??011100001"
"15""7FrenchXXX 01001101011100010110010101110000001100111011011??????1000001001101010001100011"
"16""8EnglishXX 011011100110000100000010000000110000000000000000100101110000001010000001100110"
"17""9FrenchXXX 010010000010000???000110011100000011001101110100000001100001001010010001100001"
"18""10FrenchXX 111010000110000???000100111100000011001101110110000001110000001010010001100011"
"19""11SpanishX 010011100111000???100010001111000011011101110100000001100001001010010001100111"
"20""12Japanese 10000000111???????000110001111011011000000110111000001100001001100010????11001"
"21""13Japanese ????????111???????010100011111000011001100????0000001110000??????????????10011"
"22""14Japanese 111100001110001???00110001111101001100000011011010100111111?????00010011110001"
"23""15Japanese 111100001110001???00100001110001111100000011011000000111111?????000??001111001"
"24""16Japanese 1110000011100000000000000111110111110011101101101001011100001100000??????11111"
"25""17Japanese 100000001110000???000101011111011111000000110110110001110000001100010????11011"
"26""18Japanese 10000000111000100000110001110000001100100011011000000???????????000??0011??010"
"27""19Japanese 111100001110001???00110001110001001110000011011000000111111?????000??001111011"
"28""20Japanese 10000000111???????0001100111000100110000001101101001011100001000000??????11110"
"29""21Japanese 1000000011100010001001000111110111110000001101101100011100000011000??????11001"
"30""22Japanese 10000000111???????001101011111011111000000110110110001110000001100000????10101"
"31""23Japanese 10000000111???????000110011111011111000000110110100101110000001100000001110101"
"32""24Japanese 10000000111???????001001001111011111000000110110110001110000001100000????10101"
"33""25Japanese 100000001110001???100100011111011011001110110110100101110000001100000????11110"
"34""26Japanese ????000011100010000001010111110111110011101101100000011110000011000??????10110"
"35""27Japanese 10000000111????000100101011111011011000000110111000001110000001100010111111000"
"36""28Japanese 100000001110001000100101011111011111000000110110100101110000001100000011111110"
"37""29Japanese 100000001110001000000101011111011011000000110110100101100000001100010001100000"
"38""30ItalianX 010011010110000???100110001111000011011000110100101001110000001000110000100000"
"39""31ItalianX 010011100110000000000110011110000011011100110100000001110000100010010000100100"
"40""32ItalianX 011011100110011000100101011110000011001100110100000001110000100010010001100000"
"41""33XXXXXXXX 010011100110001???0001010011110100100000001100001100011000000010100??001100111"
"42""34GermanXX 011011100110000100100000001111000011011100110110100111100001001010010001100011"
"43""35EnglishX 010011010110000101100101000111011010000000110110100101000001001101010001100111"
"44""36GermanXX 0100111001100010000011010111110100110011001100001010010000011000100??001100110"
"45""37DutchXXX 011011100110001000000101001110000011011101110110100001110000001110010001100111"
"46""38SpanishX 011011100110000101100110001111000011011101110101000001100001001010010001100010"
"47""39ItalianX 010011010110000100100100001110011111101000100000100001100001100000110000100100"
"48""40ItalianX 010011100110000100100101001111000011101100110110000001000001100010010001100010"
"49""41EnglishX 01001110011000000000001000111100001100100010000??????10000000010100??001100101"
"50""42ItalianX 01001110011????000100001001111000011101101110110000001000001001010010001100111"
"51""43SpanishX 010011100110000000100010001111000011001110110110100001100001001010010001100101"
"52""44ItalianX 01001110011000010010001001111100001110111011010?????????????????10010001100000"
"53""45ItalianX 011011100110001100100000001111000011011101110100101001110000100010010001100101"
"54""46EnglishX 100000000110000???010000001111010011011101110100000001100000001000010001100111"
"55""47ItalianX 010011100110000000100101001111011111001100110100000001100001001010010001100100"
"56""48DutchXXX 010011010110000100000101001110010011011100110100100001100001001000110000100101"
"57""49IndianXX 100000001110000100100000001111000011101110110110101001100001000000010????00100"
"58""50Japanese 10000000111???????010110011111011011000000110111000001110000001100010001100100"
"59""51Japanese 010011011110011???010101011111011011001110110111000001110000001000110001100111"
"60""52Japanese 10000000111???????010010011111000011000000110110000001110000001100010000010011"
"61""53Japanese ????0000111???????001100001111000011001000100001000001110000001000010001110110"
"62""54IranianX 01001101111??????????1???011110111110111011101001010011100001000001??001100100"
"63""55IranianX 100000001110011???100010001111010011011101110100101001110000001000010001100000"
"64""56IranianX 011011101110011100010001001111011011101110111000000001000001001010010001100111"
"65""57IranianX 100000001110011000100110011111010011101110110110000001000001001000010001100101"
"66""58TurkishX 11110000111000010000001000111101001110111011011010100111111?????00010001100001"
"67""59IranianX 100000001110000100100101001111011111100000000000100101100000001000010001100000"
"68""60IranianX 100000001110011000010100001000100011001101110110101001100000110000010001100011"
"69""61TurkishX 1000000011100001010100000011110110111011011101101010011000000010000??????00001"
"70""62TurkishX 100000001110001101100001001111011011011101110110101001100000001000010????00100"
"71""63UkraineX 100000000111000000100010011111011111101000110110100111110000100000010001100000"
"72""64UkraineX 111000001110000???000000001111010011011101111000000001100000110000000001100000"
"73""65RussiaXX 111010001110000100000000001110000011101110110000100001110001100000110001100110"
"74""66UkraineX 010011100110000???100010000110000011011101110100100001110000001010010001100001"
"75""67RussiaXX 11101000111????00001000001111001001100110011000000000???????????00110000100011"
"76""68GreeceXX 010011010110011000000101001110000011001100110000100001100001001100110001100110"
"77""69ItalianX 010011010110000100000001010000100011101101110100110001100000001000110001100101"
"78""70American 10000000011???????100101011111000011101110110110000001100000001000010001100100"
"79""71BritishX 01001110011????110010001001111000011000000110110110001100001001110001????00101"
"80""72BritishX 011011100110011110010001001000100011011101110110100101110001001010001????00001"
"81""73BritishX 011011100110011000010001001111010011001100110110100101100000001010001????00100"
"82""74BritishX 010011100110011110010001001111000011101110110110100101100000001010001????00111"
"83""75GermanXX 100111110100100110001000000000111000000001101000001100100000111000000000011100"
"84""76GermanXX 100101110100100101000100000000110000001000000000011000010001011100011000011010"
